agency_id,agency_name,license_number,status,contact_info,city
AG308,Kanan Overseas,1606 / RWP,Active,,Rawalpindi
AG309,Hamid Enterprises,1608 / PWR,Active,,
AG310,Jamu & Kashmir Ent.,1610 / RWP,Active,,Rawalpindi
AG311,Umm-ul-Qura Recruiting Agency,1614 / RWP,Active,,Rawalpindi
AG312,Lawa Employment Consultants,1615 / KAR,Active,,Karachi
AG313,Shama International,1622 / KAR,Active,,Karachi
AG314,Namseer Recruiting Agency,1624 / MLK,Active,,Malakand
AG315,Maharaja Corporation,1625 / RWP,Active,,Rawalpindi
AG316,Komal Recruiting & Travel Services,1628 / SKT,Active,,Sialkot
AG317,Qandhar International,1631 / MLK,Active,,Malakand
AG318,Jhang International Recruiting Agency,1632 / RWP,Active,,Rawalpindi
AG319,Al-Qalam Enterprises,1634 / PWR,Active,,
AG320,Jawad Safdar Enterprises,1638 / SKT,Active,,Sialkot
AG321,Modern Recruiting Services,1641 / PWR,Active,,
AG322,Platinum Manpower Services,1649 / RWP,Active,,Rawalpindi
AG323,Telecom Foundation Overseas Employment Division,1653 / RWP,Active,,Rawalpindi
AG324,Rajana Enterprises,1658 / KAR,Active,,Karachi
AG325,Swat Enterprises,1661 / MLK,Active,,Malakand
AG326,Lasifa International,1668 / RWP,Active,,Rawalpindi
AG327,Mero Khel International,1669 / KAR,Active,,Karachi
AG328,Al Haider International,1670 / GRT,Active,,Gujrat
AG329,Omega Enterprises,1672 / SKT,Active,,Sialkot
AG330,Kiran Recruiting Agency,1673 / PWR,Active,,
AG331,Miryan International,1675 / RWP,Active,,Rawalpindi
AG332,Raj Wali Enterprises,1678 / RWP,Active,,Rawalpindi
AG333,Prestige Enterprises,1679 / RWP,Active,,Rawalpindi
AG334,Aaqab Recruiting Agency,1686 / MLK,Active,,Malakand
AG335,Mint International,1689 / RWP,Active,,Rawalpindi
AG336,Jamil International,1694 / RWP,Active,,Rawalpindi
AG337,Fakhre Alam Recruiting Agency,1696 / MLK,Active,,Malakand
AG338,Al-Habib International Recruiting Agency,1697 / MTN,Active,,
AG339,Barthana International,1700 / MLK,Active,,Malakand
AG340,The Little Star Recruiting Agency,1701 / PWR,Active,,
AG341,Ghazali International,1705 / DGK,Active,,D.G. Khan
AG342,Badaber Overseas Corporation,1708 / PWR,Active,,
AG343,Sohawa International,1709 / GRT,Active,,Gujrat
AG344,Rahim Yar Khan Traders,1711 / DGK,Active,,D.G. Khan
AG345,Chairman International,1713 / SKT,Active,,Sialkot
AG346,Shinawar Manpower Consultant Agency,1714 / SKT,Active,,Sialkot
AG347,Al-Musaddaq Recruiting Agency,1718 / PWR,Active,,
AG348,Machhiana Overseas Employment Promoters,1720 / GRT,Active,,Gujrat
AG349,Ahtizaz Enterprises,1721 / RWP,Active,,Rawalpindi
AG350,Subla Mushtaq Manpower,1729 / SKT,Active,,Sialkot
AG351,Al Madakh Recruiting Agency,1739 / RWP,Active,,Rawalpindi
AG352,Al-Nabil Enterprises,1740 / SKT,Active,,Sialkot
AG353,Pak Bolan International,1745 / KAR,Active,,Karachi
AG354,Al-Baraka Enterprises,1751 / RWP,Active,,Rawalpindi
AG355,Lala Iqbal,1755 / KAR,Active,,Karachi
AG356,Al-Adrees & Brothers Recruiting Agency,1756 / PWR,Active,,
AG357,Milloo Enterprises,1757 / LHR,Active,,Lahore
AG358,Okara Enterprises,1759 / LHR,Active,,Lahore
AG359,Altaf Recruiting Agency,1760 / MLK,Active,,Malakand
AG360,Kannah Manpower Recruiting Agency,1768 / RWP,Active,,Rawalpindi
AG361,Shakeel Ishtiaq International,1770 / RWP,Active,,Rawalpindi
AG362,Shirkate Salim,1772 / PWR,Active,,
AG363,Ismail And Sons,1774 / KAR,Active,,Karachi
AG364,Tilawat Corporation,1782 / MLK,Active,,Malakand
AG365,Aasta International,1784 / RWP,Active,,Rawalpindi
AG366,Nizami Intternational Trading Corporation,1789 / MTN,Active,,
AG367,Shopayyan Enterprises Overseas Employment Promoters,1790 / RWP,Active,,Rawalpindi
AG368,Al-Minhas International,1791 / RWP,Active,,Rawalpindi
AG369,Asian Equators Co-operation Travel & Tours,1792 / LHR,Active,,Lahore
AG370,S.A. International,1796 / KAR,Active,,Karachi
AG371,Sajawal International,1798 / MTN,Active,,
AG372,Saima International,1799 / MTN,Active,,
AG373,Akbar Recruiting Agency,1801 / MLK,Active,,Malakand
AG374,Sona Recruiting Agency,1802 / PWR,Active,,
AG375,Niazi International,1804 / KAR,Active,,Karachi
AG376,Greenco,1806 / RWP,Active,,Rawalpindi
AG377,Air View Associates,1808 / KAR,Active,,Karachi
AG378,Wular International,1810 / RWP,Active,,Rawalpindi
AG379,Hadi Swati Enterprises,1813 / KAR,Active,,Karachi
AG380,Imdad Overseas Corporation,1815 / PWR,Active,,
AG381,Meeta International,1817 / MTN,Active,,
AG382,Saidu Sharif Enterprises Recruiting Agency,1819 / MLK,Active,,Malakand
AG383,Raisa Travel Service,1820 / LHR,Active,,Lahore
AG384,Punchkora Recruiting Agency,1821 / MLK,Active,,Malakand
AG385,Al-Mudassar International,1823 / MTN,Active,,
AG386,Safar Overseas Employment Promoter,1826 / PWR,Active,,
AG387,Abu-Al Asma Traders,1828 / RWP,Active,,Rawalpindi
AG388,Muscat Overseas Employment Agency,1830 / LHR,Active,,Lahore
AG389,Yahya International Recruiting Agency,1832 / MLK,Active,,Malakand
AG390,Fantastic Enterprises,1835 / MLK,Active,,Malakand
AG391,Multan International,1836 / MTN,Active,,
AG392,Al-Noshahi Enterprises,1838 / RWP,Active,,Rawalpindi
AG393,Asim Usman International,1842 / DGK,Active,,D.G. Khan
AG394,Itbar Shah Recruiting Agency,1843 / PWR,Active,,
AG395,Kalia Overseas Services,1844 / KAR,Active,,Karachi
AG396,Imam Trading & Contracting,1845 / RWP,Active,,Rawalpindi
AG397,Roghani Corporation Recruiting Agency,1851 / MLK,Active,,Malakand
AG398,Al-Qureshi International Trading Corp,1853 / LHR,Active,,Lahore
AG399,Abu Sattar Recruiting Agency,1854 / MLK,Active,,Malakand
AG400,Bio Force Employment,1857 / RWP,Active,,Rawalpindi
AG401,Sajjan International Services,1858 / SKT,Active,,Sialkot
AG402,Alam International,1862 / KAR,Active,,Karachi
AG403,Al-Kasib Overseas Employment Promoter,1863 / LHR,Active,,Lahore
AG404,Musa Khel Recruitment Employment Promoters,1864 / PWR,Active,,
AG405,Techno Power Export Coordinator,1866 / KAR,Active,,Karachi
AG406,Shamal International Recruiting Agency,1867 / MLK,Active,,Malakand
AG407,Pak National Manpower Bureau,1868 / RWP,Active,,Rawalpindi
AG408,Al- Faraz International,1874 / LHR,Active,,Lahore
AG409,Dar Recruiting Agency,1875 / SKT,Active,,Sialkot
AG410,Al-Mehdi International,1876 / RWP,Active,,Rawalpindi
AG411,Khanpur Overseas Employment,1877 / MTN,Active,,
AG412,Great Pakistan Manpower Bureau,1881 / RWP,Active,,Rawalpindi
AG413,Ayesha Zanib International,1883 / MTN,Active,,
AG414,Al- Zaharani International,1885 / SKT,Active,,Sialkot
AG415,Al-Ahsan Recruiting Agency,1888 / MLK,Active,,Malakand
AG416,Mehtech Services International,1891 / KAR,Active,,Karachi
AG417,Abdullah International,1892 / LHR,Active,,Lahore
